date,holdings,n_countries,rebalanced,is_active,n_trades,gross_return,net_return,benchmark
2005-05-31,Mexico|South Korea|Thailand,13,True,True,3,0.08573954419044637,0.08168954419044637,0.08168703673354227
2005-06-30,Mexico|South Korea|Thailand,13,False,False,0,0.038761592816753634,0.038761592816753634,0.055788227556693215
2005-07-29,Mexico|South Korea|Thailand,13,False,False,0,0.07428836745141713,0.07428836745141713,0.06414842357916717
2005-09-30,Mexico|South Korea|Thailand,12,False,False,0,0.1213034327301417,0.1213034327301417,0.11463161987176118
2005-11-30,Brazil|Mexico|Thailand,11,True,True,2,0.07148749513001713,0.06878749513001714,0.10175577000613956
2006-03-31,Brazil|Mexico|Thailand,11,False,False,0,-0.04355073839905347,-0.04355073839905347,-0.009972678977469895
2006-04-28,Brazil|Mexico|Thailand,10,False,False,0,0.03186301430512064,0.03186301430512064,0.030930509718608112
2006-06-30,Brazil|Mexico|Thailand,13,False,False,0,0.0174622094061871,0.0174622094061871,-0.006961657058976112
2006-07-31,Brazil|Mexico|Thailand,13,False,False,0,0.0383448806141363,0.0383448806141363,0.015111526114252039
2006-10-31,Brazil|Mexico|Thailand,13,False,False,0,0.06934462818281557,0.06934462818281557,0.040269551014496585
2006-11-30,Brazil|Indonesia|Mexico,12,True,True,2,0.0260643878771928,0.023364387877192798,0.03713815659223996
2007-01-31,Brazil|Indonesia|Mexico,12,False,False,0,0.008543682970800335,0.008543682970800335,0.0031191079168335634
2007-03-30,Brazil|Indonesia|Mexico,12,False,False,0,0.06148598696225407,0.06148598696225407,0.028760893703883905
2007-04-30,Brazil|Indonesia|Mexico,12,False,False,0,0.02888978140583533,0.02888978140583533,0.026436927295568013
2007-06-29,Brazil|Indonesia|Mexico,13,False,False,0,0.010060232730216601,0.010060232730216601,0.04014401467982087
2007-07-31,Brazil|Indonesia|Mexico,13,False,False,0,0.01628468547602507,0.01628468547602507,0.04505266686835219
2007-09-28,Brazil|Indonesia|Mexico,13,False,False,0,0.06420813584576393,0.06420813584576393,0.059841240375279936
