date,holdings,n_countries,rebalanced,is_active,n_trades,gross_return,net_return,benchmark
2005-03-31,Brazil|Indonesia|Mexico,11,True,True,3,-0.045051424204929934,-0.04910142420492993,-0.04328608791986932
2005-05-31,Brazil|Indonesia|Thailand,13,True,True,2,0.0892236755960079,0.0865236755960079,0.08168703673354227
2005-06-30,Brazil|India|Indonesia,13,True,True,2,0.06495841684340194,0.062258416843401936,0.055788227556693215
2005-07-29,Brazil|India|Indonesia,13,True,True,0,0.0469853733510029,0.0469853733510029,0.06414842357916717
2005-09-30,Brazil|Indonesia|Mexico,12,True,True,2,0.14373348934562694,0.14103348934562693,0.11463161987176118
2005-11-30,Brazil|India|Mexico,11,True,True,2,0.10724595256044234,0.10454595256044234,0.10175577000613956
2006-03-31,Brazil|India|Mexico,11,True,True,0,-0.0014761009273101696,-0.0014761009273101696,-0.009972678977469895
2006-04-28,Brazil|India|Mexico,11,True,True,0,0.017437893054522032,0.017437893054522032,0.030930509718608112
2006-06-30,Brazil|India|Mexico,13,True,True,0,0.0380406791109092,0.0380406791109092,-0.006961657058976112
2006-07-31,Brazil|India|Mexico,13,True,True,0,0.026208555646021172,0.026208555646021172,0.015111526114252039
2006-10-31,Brazil|India|Mexico,13,True,True,0,0.0654257485614179,0.0654257485614179,0.040269551014496585
2006-11-30,Brazil|India|Mexico,13,True,True,0,0.012634109018299299,0.012634109018299299,0.03713815659223996
2007-01-31,Brazil|India|Mexico,13,True,True,0,0.0332001328041339,0.0332001328041339,0.0031191079168335634
2007-03-30,Brazil|India|Mexico,13,True,True,0,0.04914967651046137,0.04914967651046137,0.028760893703883905
2007-04-30,Brazil|India|Mexico,13,True,True,0,0.04171788949451837,0.04171788949451837,0.026436927295568013
2007-06-29,Brazil|India|Mexico,13,True,True,0,0.0063140565983881005,0.0063140565983881005,0.04014401467982087
2007-07-31,Brazil|India|Mexico,13,True,True,0,0.00760818221547023,0.00760818221547023,0.04505266686835219
2007-09-28,Brazil|Indonesia|Mexico,13,True,True,2,0.06420813584576393,0.06150813584576393,0.059841240375279936
2007-10-31,Brazil|Indonesia|Mexico,13,True,True,0,0.09938309447407374,0.09938309447407374,0.08953624832275464
2008-01-31,Brazil|Indonesia|Mexico,13,True,True,0,-0.056500630395479,-0.056500630395479,-0.1430775690769327
2008-02-29,Brazil|Indonesia|Mexico,13,True,True,0,0.044960561495937,0.044960561495937,0.05086282461912295
2008-03-31,Brazil|Indonesia|Mexico,13,True,True,0,-0.08386300324147616,-0.08386300324147616,-0.09185353738764457
2008-04-30,Brazil|Indonesia|Mexico,13,True,True,0,0.0381588036612755,0.0381588036612755,0.09505105626189136
2008-05-30,Brazil|Indonesia|Mexico,13,True,True,0,0.07363753470237554,0.07363753470237554,0.018095703466179502
2008-06-30,India|Indonesia|Mexico,13,True,True,2,-0.12057511183307883,-0.12327511183307882,-0.11311055788224755
2008-07-31,Brazil|Indonesia|Mexico,13,True,True,2,-0.0448171468002258,-0.0475171468002258,-0.026910562381513903
2008-08-29,Brazil|Indonesia|Mexico,13,True,True,0,-0.010701990979286731,-0.010701990979286731,-0.019283758230605352
2008-10-31,Brazil|Indonesia|Mexico,13,True,True,0,-0.269238680629735,-0.269238680629735,-0.20053155131731482
2008-11-28,India|Indonesia|Mexico,13,True,True,2,-0.08665617741401023,-0.08935617741401022,-0.07206135650972634
2009-02-27,Brazil|Indonesia|Mexico,13,True,True,2,-0.07662910357883264,-0.07932910357883263,-0.04615147951982834
2009-03-31,Brazil|India|Indonesia,13,True,True,2,0.09569281507857584,0.09299281507857585,0.09912543065609092
